cruise,ship,date,time_PDT,datetime_UTC,set,Latitude,Longitude,state,gearType,itisTSN,scientificName,totalNumber,totalWeightkg
202506,LBC,06/17/25,09:55:00 AM,2025-06-17T16:55:00,1,32.7866,-117.26145,California,purseseine,161729,Sardinops sagax,360,96.615096
202506,LBC,06/17/25,09:55:00 AM,2025-06-17T16:55:00,1,32.7866,-117.26145,California,purseseine,161828,Engraulis mordax,2,0.0386
202506,LBC,06/17/25,09:55:00 AM,2025-06-17T16:55:00,1,32.7866,-117.26145,California,purseseine,162028,Osmeridae,142,NA
202506,LBC,06/17/25,09:55:00 AM,2025-06-17T16:55:00,1,32.7866,-117.26145,California,purseseine,172702,Pleuronectiformes,2,NA
202506,LBC,06/17/25,12:45:00 PM,2025-06-17T19:45:00,2,32.9261666666667,-117.268833333333,California,purseseine,161729,Sardinops sagax,345,29.937072
202506,LBC,06/17/25,12:45:00 PM,2025-06-17T19:45:00,2,32.9261666666667,-117.268833333333,California,purseseine,162028,Osmeridae,5,NA
202506,LBC,06/17/25,12:45:00 PM,2025-06-17T19:45:00,2,32.9261666666667,-117.268833333333,California,purseseine,172412,Scomber japonicus,6,1.2592
202506,LBC,06/17/25,05:40:00 PM,2025-06-18T00:40:00,3,33.1777833333333,-117.383366666667,California,purseseine,161729,Sardinops sagax,1,0.057
202506,LBC,06/17/25,05:40:00 PM,2025-06-18T00:40:00,3,33.1777833333333,-117.383366666667,California,purseseine,161828,Engraulis mordax,691,14.74174
202506,LBC,06/17/25,05:40:00 PM,2025-06-18T00:40:00,3,33.1777833333333,-117.383366666667,California,purseseine,162028,Osmeridae,8,NA
202506,LBC,06/17/25,05:40:00 PM,2025-06-18T00:40:00,3,33.1777833333333,-117.383366666667,California,purseseine,166443,Syngnathidae,1,NA
202506,LBC,06/17/25,05:40:00 PM,2025-06-18T00:40:00,3,33.1777833333333,-117.383366666667,California,purseseine,172412,Scomber japonicus,4,1.0535
202506,LBC,06/17/25,05:40:00 PM,2025-06-18T00:40:00,3,33.1777833333333,-117.383366666667,California,purseseine,172565,Peprilus simillimus,36,NA
202506,LBC,06/18/25,06:34:00 AM,2025-06-18T13:34:00,4,33.232,-117.430666666667,California,purseseine,161828,Engraulis mordax,1373,25.401152
202506,LBC,06/18/25,06:34:00 AM,2025-06-18T13:34:00,4,33.232,-117.430666666667,California,purseseine,162374,Synodontidae,5,NA
202506,LBC,06/18/25,06:34:00 AM,2025-06-18T13:34:00,4,33.232,-117.430666666667,California,purseseine,172702,Pleuronectiformes,1,NA
202506,LBC,06/18/25,09:06:00 AM,2025-06-18T16:06:00,5,33.2803333333333,-117.613166666667,California,purseseine,161828,Engraulis mordax,1391,29.937072
